.	0	3	11	17	20	23	24	26	27	28	29	31	32	34	35	
.	0	105630	429026	1012346	1018321	1119475	1793804	2539976	4264726	6508632	8090571	17543122	69712759	80263306	177937804	
.	1	3	11	17	20	23	24	26	27	28	29	31	32	34	35	
.	1	759	192925	780590	800082	984672	1506777	2142398	3705497	6350107	7737116	16015559	62848375	68806827	177937804	
.	2	3	11	17	20	23	24	26	27	28	29	31	32	34	35	
.	2	799	196662	677166	678925	909875	1387007	1991553	3511650	6326796	7742282	15895044	61366886	66855723	177937804	
.	3	3	11	17	20	23	26	27	28	29	30	31	32	33	34	36	38	
.	3	321302	519746	775089	988855	1189651	1643287	2407370	2465991	3517944	3546116	5516080	5570246	8236445	12649777	47293639	177937804	
.	4	3	11	17	20	23	26	27	28	29	30	31	32	33	34	36	38	
.	4	965	280872	652762	1234816	1491155	2138906	3145160	3210871	4468784	4497836	6900156	6957444	9969347	14919083	49958250	177937804	
.	5	3	7	9	11	12	15	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	5	1124	1222	62511	277322	343763	343830	392138	501889	773112	916928	1054033	1106738	1130534	1447025	1447144	2208949	3040712	3219952	4048860	4568085	6880943	7441506	11179118	15435463	15435768	48433910	50888681	177937804	
.	6	3	6	7	9	10	11	12	13	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	6	1268	1310	1573	65400	65401	264405	324771	324863	325063	381949	507079	783175	920821	1054575	1054657	1112746	1140612	1465055	1465283	2259609	3087960	3316512	4100858	4614204	6962040	7585047	11223182	15517661	15518141	48645640	51076293	177937804	
.	7	3	6	7	8	9	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	7	1472	1590	1865	1877	76168	283351	343725	343869	343870	344067	407669	545110	819792	956107	1085474	1085753	1150906	1180772	1514609	1514885	2336682	3151558	3485622	4192628	4686995	7047245	7731086	11409221	15657873	15658272	49072906	51503162	177937804	
.	8	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	8	1723	1845	2055	2153	87563	87565	293192	354271	354437	354490	354621	431206	568785	837781	971993	1098356	1098922	1167593	1193802	1542406	1542934	2363385	2669255	3635799	4204115	4701122	7066156	7621214	10887216	13688425	15738438	26591033	26598643	45444472	55843748	177937804	
.	9	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	9	2084	2305	2683	2897	121832	121868	402663	487442	487906	487997	488155	583279	733618	1033356	1183549	1317017	1317955	1395864	1422496	1798653	1799552	2652254	2968274	4110504	4529434	5047115	7466419	8050733	11382914	14177976	16214544	27134685	27141497	45939644	56621314	177937804	
.	10	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	10	2551	2834	3280	3612	98996	99107	308544	365012	365635	365801	366131	470294	623992	941374	1103555	1235827	1237147	1319500	1347096	1731026	1732902	2608875	2937573	4296134	4562961	5092721	7562261	8164150	11577210	14381146	16470962	27481382	27487974	46411960	57212708	177937804	
.	11	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	11	3321	3660	4390	5078	103157	103559	321003	379744	380605	380867	381339	474370	628970	913572	1068126	1199903	1201648	1286468	1315528	1708674	1713341	2607076	2940756	4427564	4558048	5088998	7627769	8216623	11673658	14532819	16685512	27817201	27824771	46922257	57883692	177937804	
.	12	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	12	4194	4600	5689	6599	110499	111321	330110	389130	390424	390850	391577	490176	650419	929737	1083953	1216716	1218995	1309448	1339421	1744801	1754041	2664910	2996406	4511342	4619772	5153322	7741157	8327184	11803135	14666818	16801284	28023355	28032023	47327876	58455211	177937804	
.	13	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	13	5281	5778	7232	8366	121795	123869	351940	413341	414888	415416	416461	434883	665502	971864	1132808	1270115	1273067	1371084	1403041	1649099	1845128	2778553	3120913	4652035	4761120	5299759	6551061	8446775	10791580	14048988	16403667	18551733	25668164	31312233	47254327	57884615	89992362	177937804	
.	14	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	14	6736	7346	9308	11001	128642	132691	365193	427003	429083	429891	431313	456470	688674	999423	1162305	1301163	1304793	1407482	1441377	1694818	1905657	2843215	3198506	4722614	4834003	5376844	6672925	8569443	10917837	14199899	16567569	18780938	25891155	31575364	47589212	58256840	90458562	177937804	
.	15	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	15	8673	9404	12190	14676	156456	164197	438307	514295	517037	518268	520311	555216	797737	1129966	1299113	1445086	1449815	1560043	1596166	1862689	2092722	3041424	3403573	4933432	5047409	5599068	6951760	8862921	11219587	14543454	16920179	19214763	26314649	32027325	48151499	58833481	91178721	177937804	
.	16	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	16	11138	11868	15353	18323	148402	158437	386522	446989	450361	452003	454823	500196	745507	1074875	1244069	1389647	1395532	1515112	1553873	1836719	2084229	3034731	3394345	4936808	5053848	5607039	7024013	8946404	11312888	14653048	17053450	19447368	26528390	32312367	48527785	59323233	91819562	177937804	
.	17	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	17	14524	15389	19793	24045	165552	181208	421139	483817	488041	490205	493859	549989	793267	1108082	1276169	1421870	1428906	1558809	1599645	1888766	2159518	3096540	3461049	4959797	5080416	5628959	7108254	9014470	11365761	14720324	17140875	19645494	26680301	32536521	48813008	59717875	92358908	177937804	
.	18	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	18	19175	20126	25751	31328	175414	196483	424865	482142	487262	490313	495263	566166	789113	848297	1291122	1442702	1451259	1595884	1641142	1942630	2249561	3190468	3572931	5052153	5182779	5748757	7309101	9224655	11533333	13832891	17368894	20019216	26073633	32219048	46526345	59199780	92552447	177937804	
.	19	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	19	25422	26425	33926	41509	198705	227903	457262	514576	521244	525242	531537	619234	850018	922277	1329263	1482881	1493980	1656062	1705790	2024880	2374932	3301400	3699395	5137012	5274253	5849285	7497228	9434809	11707081	14057909	17586543	20397024	26438178	32617162	47090060	59912963	93372222	177937804	
.	20	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	20	33969	35033	44259	53635	208399	244409	451887	501353	509292	514331	522430	622758	852551	931224	1296836	1447998	1461440	1634156	1689864	2009299	2385433	3273721	3678489	5051629	5197532	5770872	7478877	9409524	11624103	13991926	17499471	20472472	26458829	32711806	47285423	60374318	93896119	177937804	
.	21	3	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	21	45813	47081	58959	70908	237140	283965	489105	535092	544993	551521	562111	682160	920669	1006903	1350078	1519343	1536387	1735752	1799184	2138452	2573749	3472813	3900136	5274729	5433369	6031840	7857291	9844018	12040338	14516331	18021984	21219542	27243759	33527130	48399339	61629027	95241577	177937804	
