.	0	3	7	16	23	28	34
.	0	40020	46153	309325	361402	1522200	12276056
.	1	3	7	16	23	28	34
.	1	30805	36524	201972	264270	1044420	12276056
.	2	3	7	16	23	28	34
.	2	31734	43659	1055152	1327317	2613680	12276056
.	3	3	7	16	23	28	34	38
.	3	34030	44415	914207	989928	1713012	3237441	12276056
.	4	3	7	16	23	28	34	38
.	4	36613	40611	294112	322927	747099	2146348	12276056
.	5	3	7	16	23	28	34	38
.	5	54984	77187	250614	301283	586618	1627879	12276056
.	6	3	7	16	23	28	34	38
.	6	56865	79206	254293	297993	560198	1459650	12276056
.	7	3	7	16	23	28	34	38
.	7	63841	86640	253287	297245	548159	1379752	12276056
.	8	3	7	16	23	28	34	38
.	8	65173	86354	244136	286976	521552	1294076	12276056
.	9	3	7	16	23	28	34	38
.	9	68136	88817	240092	283316	516544	1268406	12276056
.	10	3	7	16	23	28	34	38
.	10	72085	92147	239606	283140	514407	1256741	12276056
.	11	3	7	16	23	28	34	38
.	11	75284	96092	245210	290422	525766	1275911	12276056
.	12	3	7	16	23	28	34	38
.	12	79475	104639	264718	316435	569720	1366092	12276056
.	13	3	7	16	23	28	34	38	41
.	13	82453	107158	269981	322464	577669	1338398	4070960	12276056
.	14	3	7	16	23	28	34	38	41
.	14	86037	109740	270213	322937	575620	1335266	4077034	12276056
.	15	3	7	16	23	28	34	38	41
.	15	89530	112676	271542	324614	574441	1334219	4089124	12276056
.	16	3	7	16	23	28	34	38	41
.	16	93145	118186	277325	332649	583435	1352709	4129779	12276056
.	17	3	7	16	23	28	34	38	41
.	17	96887	121707	281951	340129	593113	1366981	4171255	12276056
.	18	3	7	16	23	28	34	38	41
.	18	100755	126539	284395	344819	595752	1369728	4070995	12276056
.	19	3	7	16	23	28	34	38	41
.	19	104401	131285	289820	352658	603121	1380311	4101426	12276056
.	20	3	7	16	23	28	34	38	41
.	20	108226	136604	294222	360486	611634	1399768	4152960	12276056
.	21	3	7	16	23	28	34	38	41
.	21	112083	142001	293712	363898	611648	1399570	4186475	12276056
.	22	3	7	16	23	28	34	38	41
.	22	115957	147697	296276	370918	616010	1406938	4235934	12276056
.	23	3	7	16	23	28	34	38	41
.	23	119992	153450	299256	378213	621980	1418204	4246978	12276056
.	24	3	7	16	23	28	34	38	41
.	24	124214	160980	306152	390771	635191	1441765	4303028	12276056
.	25	3	7	16	23	28	34	38	41
.	25	128426	167843	311738	399203	640119	1447215	4322671	12276056
.	26	3	7	16	23	28	34	38	41
.	26	132858	175682	319145	414301	657131	1478843	4372945	12276056
.	27	3	7	16	23	28	34	38	41
.	27	137384	181932	319931	419375	661053	1494921	4426092	12276056
.	28	3	7	16	23	28	34	38	41
.	28	142239	191017	324750	432149	668430	1508907	4507863	12276056
.	29	3	7	16	23	28	34	38	41
.	29	147338	199696	329792	440525	677828	1524367	4545427	12276056
.	30	3	7	16	23	28	34	38	41
.	30	152422	208097	334417	449494	691101	1551012	4591258	12276056
.	31	3	7	16	23	28	34	38	41
.	31	157463	215919	338347	455936	699808	1569876	4651597	12276056
.	32	3	7	16	23	28	34	38	41
.	32	162765	225476	345058	467313	714789	1597207	4704474	12276056
.	33	3	7	16	23	28	34	38	41
.	33	168165	231889	349203	474496	727561	1630467	4774241	12276056
.	34	3	7	16	23	28	34	38	41
.	34	173516	241870	356953	486384	742835	1653946	4822028	12276056
.	35	3	7	16	23	28	34	38	41
.	35	179002	248049	361611	495320	755653	1681610	4904143	12276056
.	36	3	7	16	23	28	34	38	41
.	36	184185	254073	366502	505290	767356	1709416	4967106	12276056
.	37	3	7	16	23	28	34	38	41
.	37	189413	258681	372063	514705	781374	1741519	5063748	12276056
.	38	3	7	16	23	28	34	38	41
.	38	194742	267724	384897	536306	813742	1796727	5278167	12276056
.	39	3	7	16	23	28	34	38	41
.	39	200119	268896	383692	538891	817284	1810169	5352217	12276056
.	40	3	7	16	23	28	34	38	41
.	40	205285	276023	392201	551590	839455	1867905	5514701	12276056
.	41	3	7	16	23	28	34	38	41
.	41	210543	282510	402895	571880	869896	1936117	5706540	12276056
.	42	3	7	16	23	28	34	38	41
.	42	215781	287955	412402	588770	892434	1986546	5826594	12276056
.	43	3	7	16	23	28	34	38	41
.	43	220735	288879	409920	589795	897388	2004875	5908222	12276056
.	44	3	7	16	23	28	34	38	41
.	44	225594	294779	410553	597722	914973	2053043	6027040	12276056
.	45	3	7	16	23	28	34	38	41
.	45	230542	298892	413265	605331	927306	2083341	6159409	12276056
.	46	3	7	16	23	28	34	38	41
.	46	235443	304951	421361	619828	956246	2150697	6368576	12276056
.	47	3	7	16	23	28	34	38	41
.	47	240475	308387	424460	630876	970365	2194288	6503657	12276056
.	48	3	7	16	23	28	34	38	41
.	48	245415	315533	434313	642284	1000177	2282972	6653597	12276056
.	49	3	7	16	23	28	34	38	41
.	49	250574	318613	438062	649646	1011727	2317900	6769499	12276056
.	50	3	7	16	23	28	34	38	41
.	50	255582	324952	446902	668946	1039780	2394858	6932822	12276056
.	51	3	7	16	23	28	34	38	41
.	51	260551	329117	449022	673909	1055395	2438056	7097915	12276056
.	52	3	7	16	23	28	34	38	41
.	52	265475	334132	458698	693271	1088455	2531982	7328512	12276056
.	53	3	7	16	23	28	34	38	41
.	53	270363	342246	468705	711410	1118834	2613767	7543137	12276056
.	54	3	7	16	23	28	34	38	41
